benchmark,v_km_s,sigma_even,sigma_odd_raw,sigma_odd_x3,sigma_maj,sigma_dirac,R_triplet,maj_dir_ratio
MAP_relic,1100.7020,3.666189e-02,3.670458e-02,1.101137e-01,1.467756e-01,7.336646e-02,0.750218,2.000582
MAP_relic,1128.3535,3.535151e-02,3.546647e-02,1.063994e-01,1.417509e-01,7.081799e-02,0.750608,2.001623
MAP_relic,1156.6996,3.413692e-02,3.419462e-02,1.025839e-01,1.367208e-01,6.833154e-02,0.750317,2.000844
MAP_relic,1185.7578,3.289287e-02,3.301406e-02,9.904217e-02,1.319350e-01,6.590692e-02,0.750689,2.001839
MAP_relic,1215.5460,3.173912e-02,3.180474e-02,9.541423e-02,1.271534e-01,6.354386e-02,0.750387,2.001033
MAP_relic,1246.0826,3.056010e-02,3.068194e-02,9.204582e-02,1.226059e-01,6.124204e-02,0.750745,2.001989
MAP_relic,1277.3863,2.946657e-02,2.953453e-02,8.860358e-02,1.180702e-01,5.900110e-02,0.750432,2.001152
MAP_relic,1309.4763,2.835120e-02,2.846939e-02,8.540818e-02,1.137594e-01,5.682060e-02,0.750779,2.002080
MAP_relic,1342.3726,2.731701e-02,2.738308e-02,8.214923e-02,1.094662e-01,5.470008e-02,0.750453,2.001208
MAP_relic,1376.0952,2.626379e-02,2.637523e-02,7.912569e-02,1.053895e-01,5.263902e-02,0.750793,2.002117
MAP_relic,1410.6650,2.528783e-02,2.534901e-02,7.604704e-02,1.013349e-01,5.063684e-02,0.750453,2.001208
MAP_relic,1446.1033,2.429515e-02,2.439778e-02,7.319333e-02,9.748848e-02,4.869293e-02,0.750790,2.002108
MAP_relic,1482.4318,2.337614e-02,2.343047e-02,7.029142e-02,9.366756e-02,4.680661e-02,0.750435,2.001161
MAP_relic,1519.6730,2.244227e-02,2.253490e-02,6.760470e-02,9.004698e-02,4.497718e-02,0.750771,2.002059
MAP_relic,1557.8497,2.157874e-02,2.162513e-02,6.487539e-02,8.645412e-02,4.320386e-02,0.750402,2.001074
MAP_relic,1596.9855,2.070186e-02,2.078402e-02,6.235206e-02,8.305392e-02,4.148588e-02,0.750742,2.001980
MAP_relic,1637.1044,1.989217e-02,1.996775e-02,5.990326e-02,7.979543e-02,3.985992e-02,0.750710,2.001896
MAP_relic,1678.2312,1.910698e-02,1.914213e-02,5.742638e-02,7.653336e-02,3.824911e-02,0.750344,2.000919
MAP_relic,1720.3912,1.831275e-02,1.837827e-02,5.513482e-02,7.344757e-02,3.669102e-02,0.750669,2.001786
MAP_relic,1763.6103,1.757887e-02,1.760585e-02,5.281755e-02,7.039642e-02,3.518472e-02,0.750287,2.000767
MAP_relic,1807.9151,1.686851e-02,1.689265e-02,5.067796e-02,6.754647e-02,3.376116e-02,0.750268,2.000715
MAP_relic,1853.3330,1.615205e-02,1.620273e-02,4.860818e-02,6.476023e-02,3.235478e-02,0.750587,2.001566
MAP_relic,1899.8918,1.549014e-02,1.550703e-02,4.652108e-02,6.201123e-02,3.099717e-02,0.750204,2.000545
MAP_relic,1947.6202,1.485054e-02,1.486496e-02,4.459488e-02,5.944542e-02,2.971550e-02,0.750182,2.000485
MAP_relic,1996.5477,1.420679e-02,1.424494e-02,4.273482e-02,5.694161e-02,2.845173e-02,0.750502,2.001341
MAP_relic,2046.7043,1.361256e-02,1.362098e-02,4.086293e-02,5.447549e-02,2.723354e-02,0.750116,2.000309
MAP_relic,2098.1209,1.303926e-02,1.304572e-02,3.913716e-02,5.217641e-02,2.608497e-02,0.750093,2.000248
MAP_relic,2150.8292,1.246305e-02,1.249110e-02,3.747331e-02,4.993636e-02,2.495415e-02,0.750421,2.001124
MAP_relic,2204.8617,1.193189e-02,1.195670e-02,3.587009e-02,4.780198e-02,2.388859e-02,0.750389,2.001038
MAP_relic,2260.2515,1.142018e-02,1.142055e-02,3.426165e-02,4.568183e-02,2.284073e-02,0.750006,2.000016
MAP_relic,2317.0328,1.092746e-02,1.092655e-02,3.277965e-02,4.370711e-02,2.185401e-02,0.749984,1.999958
MAP_relic,2375.2405,1.043345e-02,1.045121e-02,3.135363e-02,4.178708e-02,2.088466e-02,0.750319,2.000851
MAP_relic,2434.9105,9.978513e-03,9.994051e-03,2.998215e-02,3.996067e-02,1.997256e-02,0.750292,2.000778
MAP_relic,2496.0795,9.541030e-03,9.554580e-03,2.866374e-02,3.820477e-02,1.909561e-02,0.750266,2.000710
MAP_relic,2558.7852,9.120520e-03,9.115018e-03,2.734505e-02,3.646557e-02,1.823554e-02,0.749887,1.999698
MAP_relic,2623.0662,8.716501e-03,8.710403e-03,2.613121e-02,3.484771e-02,1.742690e-02,0.749869,1.999650
MAP_relic,2688.9620,8.328486e-03,8.321894e-03,2.496568e-02,3.329417e-02,1.665038e-02,0.749851,1.999604
MAP_relic,2756.5132,7.940770e-03,7.948997e-03,2.384699e-02,3.178776e-02,1.588977e-02,0.750194,2.000518
MAP_relic,2825.7614,7.584113e-03,7.591221e-03,2.277366e-02,3.035778e-02,1.517533e-02,0.750176,2.000468
MAP_relic,2896.7492,7.241948e-03,7.248078e-03,2.174423e-02,2.898618e-02,1.449003e-02,0.750159,2.000423
MAP_relic,2969.5204,6.913788e-03,6.919066e-03,2.075720e-02,2.767099e-02,1.383285e-02,0.750143,2.000382
MAP_relic,3044.1197,6.599199e-03,6.590888e-03,1.977266e-02,2.637186e-02,1.319009e-02,0.749764,1.999370
MAP_relic,3120.5931,6.285011e-03,6.289378e-03,1.886813e-02,2.515314e-02,1.257439e-02,0.750130,2.000347
MAP_relic,3198.9876,5.996769e-03,6.000556e-03,1.800167e-02,2.399844e-02,1.199733e-02,0.750118,2.000316
MAP_relic,3279.3515,5.720681e-03,5.712037e-03,1.713611e-02,2.285679e-02,1.143272e-02,0.749716,1.999244
MAP_relic,3361.7343,5.444538e-03,5.447804e-03,1.634341e-02,2.178795e-02,1.089234e-02,0.750112,2.000300
MAP_relic,3446.1867,5.192014e-03,5.194893e-03,1.558468e-02,2.077669e-02,1.038691e-02,0.750104,2.000277
MAP_relic,3532.7606,4.950335e-03,4.941810e-03,1.482543e-02,1.977576e-02,9.892145e-03,0.749677,1.999138
