bp,m_chi_GeV,m_phi_MeV,alpha,lambda,kappa,v_km_s,sigma_maj,sigma_dir,R,n_resonances,res_even,res_odd,dominant_l,n_partialwaves
BP9,48.329,8.657,0.00235,13.119227214970545,6.269384328925731,673.341219295428,0.45154460776081595,0.22374446068168563,2.0181264214769303,1,0,1,2,40
BP9,48.329,8.657,0.00235,13.119227214970545,7.148178266980307,767.7249977836887,0.37852443188932283,0.18796934385372593,2.0137562015638206,1,0,1,2,41
BP9,48.329,8.657,0.00235,13.119227214970545,8.15015476093567,875.3387663370785,0.3140919366770496,0.15628222795985308,2.009773860900779,1,0,1,2,42
BP9,48.329,8.657,0.00235,13.119227214970545,9.292580591343198,998.0370029170341,0.2580113377343687,0.12860617574553487,2.006212658440912,0,0,0,2,43
BP9,48.329,8.657,0.00235,13.119227214970545,10.595142862869356,1137.934131901617,0.20990767738638882,0.10478219678714569,2.0032761654424442,1,1,0,3,44
BP9,48.329,8.657,0.00235,13.119227214970545,12.080288266661686,1297.440961369174,0.16924113650253966,0.08458202696976545,2.0009113350172645,1,1,0,3,46
BP9,48.329,8.657,0.00235,13.119227214970545,13.773609897896439,1479.306227879371,0.13528334287149704,0.06767743602763744,1.9989430866773878,1,1,0,3,47
BP9,48.329,8.657,0.00235,13.119227214970545,15.704288294426322,1686.6639646811807,0.10735123939629734,0.053738410992168355,1.9976630758944907,1,1,0,3,49
BP9,48.329,8.657,0.00235,13.119227214970545,17.905594296824184,1923.0875096309128,0.0846103651108263,0.04237206623751409,1.9968430294748418,0,0,0,3,51
BP9,48.329,8.657,0.00235,13.119227214970545,20.41546239546888,2192.6510835236145,0.0663527378607849,0.03322391298634706,1.997137961685961,0,0,0,4,54
BP9,48.329,8.657,0.00235,13.119227214970545,23.277144445003305,2499.9999999999995,0.05172821141795729,0.02591264350625875,1.996253736345473,0,0,0,4,57
BP16,14.384,5.047,0.0007555,2.1531824846443435,0.07129957319194899,15.000000000000004,4.248471407533622,4.248471407374153,1.0000000000375355,0,0,0,0,4
BP16,14.384,5.047,0.0007555,2.1531824846443435,0.0812937974123199,17.10258430161952,4.289748529028057,4.289748524974194,1.0000000009450118,0,0,0,0,5
BP16,14.384,5.047,0.0007555,2.1531824846443435,0.09268893489619857,19.49989265293348,4.312332885684009,4.312332817821582,1.0000000157368252,0,0,0,0,5
BP16,14.384,5.047,0.0007555,2.1531824846443435,0.10568135485930394,22.233237197955056,4.317584411592589,4.317583623066356,1.000000182631375,0,0,0,0,6
BP16,14.384,5.047,0.0007555,2.1531824846443435,0.12049495203937419,25.34972089839528,4.306100890727252,4.306094230988453,1.0000015465845478,0,0,0,0,7
BP16,14.384,5.047,0.0007555,2.1531824846443435,0.13738500501153308,28.903049245822068,4.277720360040242,4.277677795742685,1.0000099503280961,0,0,0,0,7
BP16,14.384,5.047,0.0007555,2.1531824846443435,0.15664257533254428,32.95445575336882,4.231636149004168,4.231422949319276,1.0000503848675601,0,0,0,0,8
BP16,14.384,5.047,0.0007555,2.1531824846443435,0.17859952332317494,37.573757175732034,4.166711829496675,4.165849218903589,1.0002070671663228,0,0,0,0,9
BP16,14.384,5.047,0.0007555,2.1531824846443435,0.20363422692424402,42.84055664176922,4.082099417400932,4.079206083901246,1.0007092883860673,0,0,0,0,11
BP16,14.384,5.047,0.0007555,2.1531824846443435,0.23217810217779994,48.84561543294423,3.9781541259048394,3.96992885058948,1.0020718948940706,0,0,0,0,12
BP16,14.384,5.047,0.0007555,2.1531824846443435,0.264723037699057,55.692417047094395,3.857371678304796,3.837176478304958,1.005263036535854,0,0,0,0,14
BP16,14.384,5.047,0.0007555,2.1531824846443435,0.3018298712552613,63.49895050059221,3.7247925168012816,3.6812757207396913,1.0118211183738355,0,0,0,0,16
