bp,m_chi_GeV,m_phi_MeV,alpha,lambda,v_km_s,sigma_m_maj,sigma_m_dir,R_v,kappa,regime
BP16,14.384,5.047,0.0007555,2.1531824846443435,250,2.1333571740868957,1.3954736523427216,1.52876922506234,1.1883262198658162,few-ℓ
BP16,14.384,5.047,0.0007555,2.1531824846443435,275,1.9656595858137305,1.2495845796245593,1.5730504504179443,1.3071588418523978,few-ℓ
BP16,14.384,5.047,0.0007555,2.1531824846443435,300,1.8099492854457075,1.1236569116622488,1.6107668334173393,1.4259914638389795,few-ℓ
BP16,14.384,5.047,0.0007555,2.1531824846443435,325,1.6667960402879483,1.0144275435767733,1.6430902836204415,1.5448240858255613,few-ℓ
BP16,14.384,5.047,0.0007555,2.1531824846443435,350,1.5360438046329963,0.9192405168635011,1.6709922772704382,1.663656707812143,few-ℓ
BP16,14.384,5.047,0.0007555,2.1531824846443435,375,1.41710781272019,0.8359228217383977,1.695261543132835,1.7824893297987245,few-ℓ
BP16,14.384,5.047,0.0007555,2.1531824846443435,400,1.3091747500837685,0.7626878051625307,1.7165277079588026,1.9013219517853062,few-ℓ
BP16,14.384,5.047,0.0007555,2.1531824846443435,425,1.2113378469529341,0.6980577985884013,1.735297348446615,2.0201545737718876,few-ℓ
BP16,14.384,5.047,0.0007555,2.1531824846443435,450,1.1226748255634924,0.640805577144074,1.751974180011043,2.138987195758469,few-ℓ
BP16,14.384,5.047,0.0007555,2.1531824846443435,475,1.0422975475211496,0.589905542788323,1.7668888863028693,2.2578198177450512,few-ℓ
BP16,14.384,5.047,0.0007555,2.1531824846443435,500,0.9693682630260552,0.544497031245646,1.7803003641882698,2.3766524397316324,few-ℓ
BP16,14.384,5.047,0.0007555,2.1531824846443435,550,0.8428669847413782,0.4673655172932253,1.8034428162841187,2.6143176837047957,few-ℓ
BP16,14.384,5.047,0.0007555,2.1531824846443435,600,0.7378869000441669,0.4048316370645983,1.8227006797060763,2.851982927677959,few-ℓ
BP16,14.384,5.047,0.0007555,2.1531824846443435,650,0.6501961245463259,0.3535635126563406,1.838979705969571,3.0896481716511226,few-ℓ
BP16,14.384,5.047,0.0007555,2.1531824846443435,700,0.5764386027580953,0.31109877282242226,1.8529118502409883,3.327313415624286,few-ℓ
BP16,14.384,5.047,0.0007555,2.1531824846443435,750,0.513977610443053,0.2755946299448443,1.864976870361796,3.564978659597449,few-ℓ
BP16,14.384,5.047,0.0007555,2.1531824846443435,800,0.4607233633520816,0.2456531903225781,1.8755032765790067,3.8026439035706123,few-ℓ
BP16,14.384,5.047,0.0007555,2.1531824846443435,850,0.41503199963747517,0.22020174104526113,1.884780736371053,4.040309147543775,few-ℓ
BP16,14.384,5.047,0.0007555,2.1531824846443435,900,0.3755867609735699,0.19840853330670105,1.8929970133541874,4.277974391516938,few-ℓ
BP16,14.384,5.047,0.0007555,2.1531824846443435,950,0.3413349608577194,0.17961977329475073,1.9003195171480305,4.5156396354901025,few-ℓ
BP16,14.384,5.047,0.0007555,2.1531824846443435,1000,0.3114315584246569,0.16331992529728168,1.906880362930465,4.753304879463265,few-ℓ
BP16,14.384,5.047,0.0007555,2.1531824846443435,1050,0.28519017619089604,0.14909675804804465,1.9127858977255354,4.990970123436429,few-ℓ
MAP,98.19,9.66,0.003274,33.27888819875776,5,1.414992412136127,1.4149923129724309,1.0000000700807314,0.08476360897387823,s-wave
MAP,98.19,9.66,0.003274,33.27888819875776,10,1.2960594301948758,1.2914901315816079,1.003538005054419,0.16952721794775646,s-wave
MAP,98.19,9.66,0.003274,33.27888819875776,15,1.2707231472852052,1.165508547504483,1.090273554840933,0.2542908269216347,s-wave
MAP,98.19,9.66,0.003274,33.27888819875776,20,1.451535971202436,1.0967615874851662,1.323474479563744,0.33905443589551293,s-wave
MAP,98.19,9.66,0.003274,33.27888819875776,25,1.6574820193233613,1.044619132314756,1.58668548952437,0.42381804486939123,s-wave
MAP,98.19,9.66,0.003274,33.27888819875776,30,1.7969870173084648,0.9924856018441396,1.8105925304805222,0.5085816538432694,few-ℓ
MAP,98.19,9.66,0.003274,33.27888819875776,35,1.8661273709613726,0.9437764019305332,1.977298189639127,0.5933452628171477,few-ℓ
MAP,98.19,9.66,0.003274,33.27888819875776,40,1.8803108722205837,0.9006746278797828,2.0876694135893406,0.6781088717910259,few-ℓ
MAP,98.19,9.66,0.003274,33.27888819875776,45,1.8561012884975605,0.8626972003681389,2.151509576831252,0.7628724807649042,few-ℓ
MAP,98.19,9.66,0.003274,33.27888819875776,50,1.8075530128363098,0.8287484640611251,2.1810634845448016,0.8476360897387825,few-ℓ
MAP,98.19,9.66,0.003274,33.27888819875776,60,1.6769229440502764,0.7697911053301436,2.178412990795844,1.0171633076865387,few-ℓ
MAP,98.19,9.66,0.003274,33.27888819875776,70,1.539104024001561,0.7198036085239252,2.1382277134699907,1.1866905256342954,few-ℓ
MAP,98.19,9.66,0.003274,33.27888819875776,80,1.414059305029138,0.6766576208011313,2.0897707519424036,1.3562177435820517,few-ℓ
MAP,98.19,9.66,0.003274,33.27888819875776,90,1.307195406640322,0.6389145755694423,2.0459627258859516,1.5257449615298084,few-ℓ
MAP,98.19,9.66,0.003274,33.27888819875776,100,1.217925281194023,0.6055249193535892,2.011354516167864,1.695272179477565,few-ℓ
MAP,98.19,9.66,0.003274,33.27888819875776,110,1.1435886154480497,0.575704116905136,1.986417296433003,1.8647993974253212,few-ℓ
MAP,98.19,9.66,0.003274,33.27888819875776,120,1.0811713523731028,0.5488538235492693,1.9698712225078427,2.0343266153730775,few-ℓ
MAP,98.19,9.66,0.003274,33.27888819875776,130,1.027985565752816,0.5245088281635091,1.959901360196657,2.2038538333208337,few-ℓ
MAP,98.19,9.66,0.003274,33.27888819875776,140,0.9818705833393416,0.5023010959938509,1.9547450546501726,2.373381051268591,few-ℓ
MAP,98.19,9.66,0.003274,33.27888819875776,150,0.9411842794492963,0.4819349804633872,1.9529279209911978,2.542908269216347,few-ℓ
MAP,98.19,9.66,0.003274,33.27888819875776,160,0.9047072676109983,0.4631697649073207,1.9532951763205622,2.7124354871641034,few-ℓ
MAP,98.19,9.66,0.003274,33.27888819875776,170,0.8715601126268896,0.4458071074485497,1.9550161898831453,2.8819627051118597,few-ℓ
