chi2,chi2_dof,m_chi_GeV,m_phi_MeV,alpha,lambda,is_relic,omega_h2,sigma_m_12,sigma_m_30,sigma_m_40,sigma_m_50,sigma_m_55,sigma_m_60,sigma_m_250,sigma_m_280,sigma_m_1100,sigma_m_1200,sigma_m_1500,sigma_m_4700
3.1715,0.3171,100.000000,8.196729,2.021537e-03,24.6627,0,,1.452961e+00,2.055088e+00,2.044854e+00,1.904973e+00,1.818055e+00,1.728865e+00,5.316834e-01,4.586077e-01,8.082999e-02,6.965114e-02,4.686337e-02,4.728956e-03
3.1811,0.3181,100.000000,8.196729,2.014974e-03,24.5827,0,,1.450278e+00,2.049990e+00,2.040165e+00,1.900924e+00,1.814326e+00,1.725434e+00,5.303702e-01,4.574727e-01,8.039892e-02,6.926970e-02,4.659228e-02,4.698707e-03
3.1929,0.3193,75.431201,10.216981,2.524225e-03,18.6362,0,,1.139342e+00,1.150599e+00,1.311977e+00,1.404325e+00,1.422388e+00,1.425592e+00,5.919121e-01,5.220499e-01,9.901622e-02,8.669972e-02,5.992750e-02,6.872627e-03
3.1970,0.3197,100.000000,8.196729,2.004282e-03,24.4522,0,,1.445896e+00,2.041666e+00,2.032503e+00,1.894304e+00,1.808226e+00,1.719821e+00,5.282232e-01,4.556159e-01,7.969763e-02,6.864936e-02,4.615175e-02,4.649632e-03
3.2157,0.3216,65.512856,9.151275,2.048736e-03,14.6667,0,,1.426119e+00,1.358598e+00,1.516529e+00,1.628881e+00,1.657359e+00,1.669520e+00,7.098798e-01,6.374040e-01,1.031148e-01,8.933570e-02,5.889441e-02,6.595901e-03
3.2190,0.3219,100.000000,8.196729,1.989879e-03,24.2765,0,,1.439974e+00,2.030412e+00,2.022131e+00,1.885335e+00,1.799959e+00,1.712211e+00,5.253156e-01,4.530992e-01,7.875472e-02,6.781571e-02,4.556043e-02,4.583909e-03
3.2227,0.3223,86.851137,8.196729,1.841434e-03,19.5115,0,,1.482998e+00,1.891157e+00,1.996601e+00,1.946095e+00,1.890629e+00,1.831533e+00,5.881278e-01,5.104472e-01,7.935341e-02,6.840965e-02,4.580281e-02,4.842183e-03
3.2261,0.3226,86.851137,8.196729,1.839323e-03,19.4892,0,,1.482044e+00,1.889357e+00,1.994760e+00,1.944386e+00,1.889010e+00,1.829994e+00,5.875635e-01,5.099457e-01,7.919938e-02,6.827369e-02,4.570739e-02,4.831202e-03
3.2285,0.3229,75.431201,8.196729,1.797954e-03,16.5459,0,,1.593212e+00,1.792967e+00,1.971612e+00,2.004418e+00,1.983196e+00,1.946018e+00,6.489836e-01,6.051626e-01,8.827316e-02,7.630566e-02,5.070038e-02,5.499386e-03
3.2290,0.3229,86.851137,8.196729,1.837518e-03,19.4700,0,,1.481228e+00,1.887817e+00,1.993186e+00,1.942924e+00,1.887625e+00,1.828677e+00,5.870806e-01,5.095165e-01,7.906774e-02,6.815751e-02,4.562586e-02,4.821822e-03
3.2323,0.3232,86.851137,8.196729,1.835456e-03,19.4482,0,,1.480294e+00,1.886057e+00,1.991385e+00,1.941253e+00,1.886041e+00,1.827171e+00,5.865283e-01,5.090257e-01,7.891739e-02,6.802481e-02,4.553276e-02,4.811115e-03
3.2331,0.3233,65.512856,9.151275,2.034013e-03,14.5612,0,,1.419855e+00,1.351134e+00,1.507088e+00,1.618459e+00,1.646762e+00,1.658895e+00,7.054705e-01,6.332625e-01,1.018924e-01,8.824895e-02,5.814167e-02,6.502587e-03
3.2353,0.3235,75.431201,8.196729,1.792117e-03,16.4921,0,,1.590203e+00,1.788054e+00,1.966094e+00,1.998933e+00,1.977850e+00,1.940853e+00,6.472134e-01,6.033250e-01,8.778377e-02,7.587289e-02,5.039999e-02,5.464070e-03
3.2468,0.3247,75.431201,8.196729,1.782608e-03,16.4046,0,,1.585286e+00,1.780041e+00,1.957088e+00,1.989980e+00,1.969121e+00,1.932417e+00,6.443171e-01,6.003216e-01,8.698802e-02,7.516943e-02,4.991203e-02,5.406777e-03
