chi2,chi2_dof,m_chi_GeV,m_phi_MeV,alpha,lambda,is_relic,omega_h2,sigma_m_12,sigma_m_30,sigma_m_40,sigma_m_50,sigma_m_55,sigma_m_60,sigma_m_250,sigma_m_280,sigma_m_1000,sigma_m_1100,sigma_m_1200,sigma_m_4700
34.8164,3.4816,7.906043,7.341750,1.688049e-03,1.8178,0,,1.773592e+00,2.834848e+00,2.970255e+00,3.022046e+00,3.031894e+00,3.034871e+00,2.305828e+00,2.218902e+00,9.009349e-01,7.962202e-01,7.067060e-01,6.544356e-02
34.8514,3.4851,7.906043,42.781479,1.681655e-01,31.0771,0,,4.563980e-01,7.810451e-01,8.411008e-01,8.675323e-01,8.745746e-01,8.792898e-01,8.697881e-01,8.641346e-01,8.300163e-01,8.751676e-01,9.220292e-01,8.276202e-01
34.9196,3.4920,75.431201,4.232476,1.029773e-03,18.3526,0,,6.528495e+00,8.007304e+00,7.182659e+00,6.311576e+00,5.923200e+00,5.571947e+00,1.510818e+00,1.312641e+00,1.650141e-01,1.373758e-01,1.161112e-01,7.332136e-03
34.9428,3.4943,6.866488,10.216981,2.860555e-03,1.9225,0,,6.881449e-01,1.546958e+00,1.729511e+00,1.826307e+00,1.856820e+00,1.879565e+00,1.701942e+00,1.647724e+00,9.555102e-01,8.820332e-01,8.135809e-01,1.060036e-01
34.9680,3.4968,32.374575,4.232476,7.004097e-04,5.3575,0,,6.536096e+00,5.653702e+00,5.671039e+00,5.713930e+00,5.697233e+00,5.651144e+00,1.886808e+00,1.614907e+00,1.816502e-01,1.511937e-01,1.275672e-01,8.041650e-03
34.9963,3.4996,10.481131,38.319054,9.486148e-02,25.9468,0,,4.705774e-01,7.163994e-01,7.436910e-01,7.530164e-01,7.550240e-01,7.561487e-01,7.223771e-01,7.129469e-01,8.476914e-01,8.834375e-01,9.098809e-01,5.374052e-01
35.0157,3.5016,9.102982,4.725367,7.829566e-04,1.5083,0,,4.121157e+00,5.014915e+00,5.020821e+00,4.947429e+00,4.894095e+00,4.833341e+00,2.892686e+00,2.692276e+00,5.617778e-01,4.772704e-01,4.098975e-01,3.008250e-02
35.0371,3.5037,21.209509,19.786487,1.858181e-02,19.9182,0,,1.185347e+00,1.201824e+00,1.192159e+00,1.179483e+00,1.172156e+00,1.164212e+00,1.259465e+00,1.323394e+00,9.583736e-01,8.942769e-01,8.381693e-01,2.344660e-01
35.0383,3.5038,65.512856,0.810922,1.765310e-05,1.4262,0,,6.612778e+00,1.594849e+00,9.416880e-01,6.175641e-01,5.143780e-01,4.348941e-01,2.483414e-02,1.967413e-02,1.450371e-03,1.196187e-03,1.000488e-03,5.627476e-05
35.0465,3.5047,6.866488,38.319054,1.064183e-01,19.0694,0,,3.388699e-01,7.299114e-01,8.380810e-01,8.972554e-01,9.157294e-01,9.293731e-01,9.556564e-01,9.507011e-01,8.485803e-01,8.722573e-01,9.026745e-01,9.008109e-01
35.0624,3.5062,42.919343,5.275657,1.445876e-03,11.7627,0,,5.600507e+00,5.445344e+00,5.972340e+00,6.243222e+00,6.272781e+00,6.247270e+00,2.452384e+00,2.173487e+00,3.466775e-01,2.923607e-01,2.495869e-01,1.678020e-02
35.0886,3.5089,4.498433,11.406795,3.325019e-03,1.3113,0,,1.896347e-01,6.992318e-01,9.138537e-01,1.068051e+00,1.127346e+00,1.177286e+00,1.427773e+00,1.408108e+00,9.050137e-01,8.589252e-01,8.152298e-01,1.591787e-01
35.1420,3.5142,24.420531,7.341750,2.246783e-03,7.4734,0,,3.926461e+00,3.700692e+00,3.522753e+00,3.386659e+00,3.347623e+00,3.328854e+00,2.929929e+00,2.715501e+00,6.362552e-01,5.486631e-01,4.772632e-01,3.784770e-02
35.1727,3.5173,75.431201,0.418729,8.015936e-06,1.4440,0,,6.514077e+00,1.175349e+00,6.680761e-01,4.283059e-01,3.538003e-01,2.972254e-01,1.598876e-02,1.269219e-02,9.562330e-04,7.892329e-04,6.624680e-04,2.115169e-05
35.1743,3.5174,32.374575,2.439998,1.600586e-04,2.1237,0,,7.211947e+00,5.497418e+00,4.843209e+00,4.196070e+00,3.890426e+00,3.602711e+00,4.372854e-01,3.542992e-01,2.914023e-02,2.399954e-02,2.008963e-02,1.222335e-03
35.1909,3.5191,49.417134,6.575951,2.847105e-03,21.3955,0,,4.522173e+00,4.753863e+00,5.456149e+00,5.808339e+00,5.861952e+00,5.854454e+00,2.561841e+00,2.339094e+00,5.897332e-01,5.129625e-01,4.495211e-01,3.670448e-02
35.2022,3.5202,49.417134,5.890030,2.140331e-03,17.9573,0,,5.018791e+00,5.442459e+00,6.109192e+00,6.349178e+00,6.342690e+00,6.278588e+00,2.521797e+00,2.277710e+00,4.743232e-01,4.062934e-01,3.512589e-01,2.573582e-02
35.2452,3.5245,9.102982,7.341750,1.739661e-03,2.1570,0,,2.224238e+00,3.129492e+00,3.212961e+00,3.230896e+00,3.227371e+00,3.218398e+00,2.385073e+00,2.306322e+00,8.798585e-01,7.726683e-01,6.821317e-01,6.070363e-02
35.2487,3.5249,12.067926,17.722610,9.511886e-03,6.4770,0,,7.941696e-01,1.170150e+00,1.204673e+00,1.215766e+00,1.217538e+00,1.217872e+00,1.048925e+00,1.033191e+00,9.619390e-01,9.163405e-01,8.702232e-01,1.851614e-01
35.2673,3.5267,65.512856,3.041385,3.321605e-04,7.1549,0,,7.061059e+00,6.898336e+00,5.916353e+00,5.005023e+00,4.607052e+00,4.247736e+00,5.767752e-01,4.709348e-01,3.935297e-02,3.243642e-02,2.718129e-02,1.658646e-03
