m_chi_GeV,m_phi_MeV,alpha,sigma_m_30,sigma_m_1000
32.374575,3.0413853336e+00,2.0517290129e-04,3.936355,0.02736539
32.374575,3.0413853336e+00,4.2415551709e-04,9.189683,0.11588283
32.374575,3.3955682317e+00,2.2906620149e-04,3.258462,0.02736033
32.374575,3.3955682317e+00,4.7355032038e-04,7.388474,0.11557927
32.374575,3.7909973093e+00,2.5574198315e-04,2.697412,0.02797305
32.374575,3.7909973093e+00,5.2869736901e-04,5.955246,0.11784795
32.374575,4.2324758681e+00,2.8552427866e-04,2.234029,0.02780661
32.374575,4.2324758681e+00,6.1271701572e-04,4.995277,0.12553348
32.374575,4.7253665758e+00,3.1877485542e-04,1.850668,0.02777405
32.374575,4.7253665758e+00,8.6651392707e-04,5.002349,0.19664237
32.374575,5.2756566064e+00,3.5589761027e-04,1.532198,0.02816984
32.374575,5.2756566064e+00,1.2524143171e-03,4.994678,0.31932142
32.374575,5.8900303675e+00,3.9734347563e-04,1.266466,0.02796273
32.374575,5.8900303675e+00,1.5255151297e-03,4.329296,0.36270986
32.374575,6.5759506955e+00,4.4361589701e-04,1.044097,0.02817853
32.374575,6.5759506955e+00,1.7031681760e-03,3.532914,0.35672688
32.374575,7.3417495075e+00,4.9527694842e-04,0.857935,0.02776495
32.374575,7.3417495075e+00,1.9015097127e-03,2.891849,0.34060507
32.374575,8.1967290095e+00,5.5295415986e-04,0.702396,0.02778774
32.374575,8.1967290095e+00,2.1229490066e-03,2.367740,0.33010185
32.374575,8.1967290095e+00,2.6626172458e-03,2.766454,0.46939436
32.374575,9.1512746909e+00,6.1734814003e-04,0.572935,0.02710154
32.374575,9.1512746909e+00,2.3701758948e-03,1.935575,0.30876056
32.374575,9.1512746909e+00,3.1536856571e-03,2.352517,0.46932417
32.374575,1.0216981478e+01,2.6461934576e-03,1.578406,0.29873564
32.374575,1.0216981478e+01,3.6435120781e-03,1.963630,0.46829496
32.374575,1.1406794577e+01,2.9543544977e-03,1.283729,0.28228592
32.374575,1.1406794577e+01,4.3289329318e-03,1.664539,0.46857208
32.374575,1.2735166723e+01,3.2984022665e-03,1.041474,0.26751114
32.374575,1.2735166723e+01,5.1593202063e-03,1.409732,0.46938796
32.374575,1.4218233734e+01,3.6825159338e-03,0.843100,0.24210252
32.374575,1.4218233734e+01,6.6256373770e-03,1.247012,0.46974419
32.374575,1.5874010520e+01,4.1113613521e-03,0.681249,0.22634996
32.374575,1.5874010520e+01,8.1714680047e-03,1.071982,0.46892327
32.374575,1.7722609903e+01,4.5901477337e-03,0.549600,0.20922107
32.374575,1.7722609903e+01,1.0396384203e-02,0.935762,0.46987066
32.374575,1.7722609903e+01,1.0374274704e-02,0.934605,0.46914115
32.374575,1.9786486935e+01,1.1679528158e-02,0.758025,0.41509187
32.374575,1.9786486935e+01,1.4133885609e-02,0.844812,0.46964896
32.374575,2.2090711661e+01,1.3039661347e-02,0.611094,0.37141318
32.374575,2.2090711661e+01,1.9136540884e-02,0.756650,0.46948727
32.374575,2.4663273642e+01,2.5749176261e-02,0.672109,0.45954308
32.374575,2.7535421948e+01,2.8747782775e-02,0.541263,0.36389505
37.275937,1.0000000000e-01,3.1548502552e-06,5.832556,0.00078831
37.275937,1.1164544638e-01,3.5222466500e-06,5.848486,0.00091287
37.275937,1.2464705697e-01,3.9324279948e-06,5.844068,0.00104524
37.275937,1.3916276314e-01,4.3903767883e-06,5.869942,0.00118447
37.275937,1.5536888810e-01,4.9016557629e-06,5.981240,0.00135140
37.275937,1.7346228865e-01,5.4724754563e-06,5.923131,0.00152504
37.275937,1.9366274646e-01,6.1097696510e-06,5.892719,0.00172149
37.275937,2.1621563775e-01,6.8212795994e-06,5.963703,0.00193494
37.275937,2.4139491390e-01,7.6156480574e-06,5.893695,0.00216509
37.275937,2.6950642916e-01,8.5025242681e-06,5.930369,0.00241108
37.275937,3.0089165584e-01,9.4926811724e-06,5.998407,0.00267150
37.275937,3.3593183228e-01,1.0598146268e-05,5.877055,0.00294428
37.275937,3.7505259366e-01,1.1832347709e-05,5.847260,0.00322669
37.275937,4.1872914234e-01,1.3210277416e-05,5.843360,0.00351533
37.275937,4.6749202008e-01,1.4748673189e-05,5.651035,0.00380618
37.275937,5.2193355259e-01,1.6466222016e-05,5.602782,0.00409469
37.275937,5.8271504458e-01,1.8383787071e-05,5.507078,0.00437592
37.275937,6.5057481262e-01,2.0524661136e-05,5.336361,0.00464479
37.275937,7.2633715356e-01,2.2914849543e-05,5.164457,0.00489637
37.275937,8.1092235729e-01,2.5743049242e-05,5.010270,0.00517744
37.275937,9.0535788556e-01,2.9556964847e-05,5.013380,0.00547888
37.275937,1.0107908526e+00,3.4254105195e-05,5.010184,0.00589622
37.275937,1.1285019594e+00,3.9697706744e-05,4.996058,0.00637627
37.275937,1.2599210499e+00,4.6437748555e-05,4.993688,0.00699614
37.275937,1.4066444801e+00,5.4831463344e-05,4.995367,0.00787629
37.275937,1.5704545088e+00,6.5349378526e-05,4.992732,0.00892472
37.275937,1.7533409465e+00,7.8860043615e-05,5.002314,0.01045684
37.275937,1.9575253262e+00,9.6355495697e-05,5.011696,0.01250848
37.275937,2.1854878884e+00,1.1883624252e-04,4.990679,0.01543333
37.275937,2.4399977085e+00,1.4295965159e-04,4.700005,0.01785139
37.275937,2.7241463332e+00,1.5960794116e-04,3.936407,0.01793381
37.275937,2.7241463332e+00,3.2995872451e-04,9.836798,0.07623981
