alpha_s,alpha_p,alpha_s_over_alpha_p,lambda,sigma_m_10,sigma_m_30,sigma_m_50,sigma_m_100,sigma_m_200,sigma_m_500,sigma_m_1000
5.907889e-04,2.348510e-04,2.516,5.0068,0.311569,0.264491,0.263782,0.200181,0.097232,0.022286,0.005892
5.959999e-04,2.327977e-04,2.560,5.0510,0.313908,0.266732,0.266450,0.202499,0.098545,0.022650,0.005994
6.012567e-04,2.307623e-04,2.606,5.0955,0.316258,0.268988,0.269141,0.204836,0.099871,0.023019,0.006098
6.065600e-04,2.287447e-04,2.652,5.1405,0.318619,0.271258,0.271854,0.207194,0.101212,0.023394,0.006204
6.119100e-04,2.267448e-04,2.699,5.1858,0.320990,0.273543,0.274589,0.209573,0.102566,0.023774,0.006311
6.173073e-04,2.247623e-04,2.746,5.2315,0.323372,0.275843,0.277346,0.211972,0.103935,0.024160,0.006420
6.227521e-04,2.227972e-04,2.795,5.2777,0.325764,0.278158,0.280127,0.214391,0.105317,0.024552,0.006531
6.282449e-04,2.208492e-04,2.845,5.3242,0.328166,0.280488,0.282930,0.216831,0.106714,0.024950,0.006644
6.337862e-04,2.189183e-04,2.895,5.3712,0.330580,0.282833,0.285755,0.219291,0.108125,0.025353,0.006758
6.393764e-04,2.170042e-04,2.946,5.4186,0.333003,0.285194,0.288604,0.221773,0.109551,0.025762,0.006875
6.450159e-04,2.151069e-04,2.999,5.4664,0.335437,0.287570,0.291476,0.224275,0.110990,0.026178,0.006994
6.507051e-04,2.132262e-04,3.052,5.5146,0.337882,0.289962,0.294371,0.226797,0.112445,0.026599,0.007114
6.564445e-04,2.113620e-04,3.106,5.5632,0.340337,0.292369,0.297290,0.229341,0.113913,0.027027,0.007237
6.622346e-04,2.095140e-04,3.161,5.6123,0.342803,0.294791,0.300232,0.231906,0.115396,0.027461,0.007361
6.680757e-04,2.076822e-04,3.217,5.6618,0.345279,0.297230,0.303198,0.234491,0.116894,0.027901,0.007488
6.739683e-04,2.058664e-04,3.274,5.7117,0.347766,0.299685,0.306188,0.237098,0.118406,0.028348,0.007617
6.799129e-04,2.040664e-04,3.332,5.7621,0.350264,0.302155,0.309202,0.239725,0.119933,0.028801,0.007748
6.859099e-04,2.022823e-04,3.391,5.8129,0.352771,0.304642,0.312239,0.242374,0.121474,0.029261,0.007881
6.919598e-04,2.005137e-04,3.451,5.8642,0.355290,0.307145,0.315301,0.245044,0.123030,0.029727,0.008016
6.980631e-04,1.987605e-04,3.512,5.9159,0.357819,0.309664,0.318388,0.247735,0.124601,0.030200,0.008154
7.042202e-04,1.970227e-04,3.574,5.9681,0.360358,0.312200,0.321499,0.250447,0.126187,0.030680,0.008294
7.104317e-04,1.953001e-04,3.638,6.0207,0.362908,0.314752,0.324634,0.253181,0.127787,0.031166,0.008436
7.166979e-04,1.935926e-04,3.702,6.0739,0.365469,0.317321,0.327794,0.255936,0.129402,0.031660,0.008581
7.230194e-04,1.919000e-04,3.768,6.1274,0.368040,0.319907,0.330980,0.258712,0.131032,0.032160,0.008728
7.293966e-04,1.902222e-04,3.834,6.1815,0.370622,0.322509,0.334190,0.261509,0.132676,0.032668,0.008877
7.358301e-04,1.885590e-04,3.902,6.2360,0.373214,0.325129,0.337425,0.264328,0.134336,0.033182,0.009029
7.423203e-04,1.869104e-04,3.972,6.2910,0.375817,0.327766,0.340686,0.267168,0.136010,0.033704,0.009184
7.488678e-04,1.852762e-04,4.042,6.3465,0.378430,0.330420,0.343972,0.270029,0.137699,0.034233,0.009341
7.554730e-04,1.836563e-04,4.114,6.4025,0.381054,0.333091,0.347284,0.272912,0.139403,0.034769,0.009500
7.621365e-04,1.820506e-04,4.186,6.4589,0.383688,0.335780,0.350621,0.275817,0.141122,0.035313,0.009662
