v_km_s,sigma_m_BP1,eta_BP1,sigma_m_MAP,eta_MAP
143.1660,3.978696e-01,-0.3214,1.060591e+00,-0.4770
145.3104,3.959723e-01,-0.3217,1.053133e+00,-0.4726
147.4868,3.940823e-01,-0.3220,1.045792e+00,-0.4687
149.6959,3.921993e-01,-0.3224,1.038560e+00,-0.4652
151.9380,3.903231e-01,-0.3228,1.031427e+00,-0.4622
154.2137,3.884531e-01,-0.3233,1.024385e+00,-0.4597
156.5236,3.865887e-01,-0.3239,1.017426e+00,-0.4576
158.8680,3.847294e-01,-0.3247,1.010540e+00,-0.4561
161.2475,3.828745e-01,-0.3256,1.003720e+00,-0.4550
163.6626,3.810231e-01,-0.3266,9.969605e-01,-0.4544
166.1140,3.791743e-01,-0.3278,9.902496e-01,-0.4544
168.6020,3.773273e-01,-0.3292,9.835818e-01,-0.4547
171.1273,3.754810e-01,-0.3308,9.769503e-01,-0.4556
173.6905,3.736343e-01,-0.3326,9.703484e-01,-0.4568
176.2920,3.717861e-01,-0.3346,9.637699e-01,-0.4585
178.9325,3.699352e-01,-0.3369,9.572090e-01,-0.4606
181.6125,3.680805e-01,-0.3394,9.506604e-01,-0.4631
184.3327,3.662205e-01,-0.3422,9.441191e-01,-0.4659
187.0936,3.643540e-01,-0.3453,9.375826e-01,-0.4691
189.8959,3.624797e-01,-0.3487,9.310429e-01,-0.4727
192.7402,3.605961e-01,-0.3523,9.244982e-01,-0.4765
195.6270,3.587021e-01,-0.3563,9.179451e-01,-0.4806
198.5571,3.567960e-01,-0.3606,9.113806e-01,-0.4850
201.5311,3.548767e-01,-0.3652,9.048024e-01,-0.4896
204.5496,3.529426e-01,-0.3701,8.982082e-01,-0.4945
207.6134,3.509925e-01,-0.3754,8.915963e-01,-0.4994
210.7230,3.490250e-01,-0.3810,8.849680e-01,-0.5047
213.8792,3.470387e-01,-0.3869,8.783175e-01,-0.5101
217.0827,3.450325e-01,-0.3932,8.716462e-01,-0.5156
220.3341,3.430049e-01,-0.3998,8.649539e-01,-0.5213
223.6343,3.409549e-01,-0.4068,8.582402e-01,-0.5270
226.9839,3.388813e-01,-0.4141,8.515054e-01,-0.5328
230.3836,3.367829e-01,-0.4217,8.447499e-01,-0.5386
233.8343,3.346588e-01,-0.4297,8.379770e-01,-0.5445
237.3366,3.325079e-01,-0.4379,8.311827e-01,-0.5506
240.8915,3.303292e-01,-0.4466,8.243701e-01,-0.5566
244.4995,3.281221e-01,-0.4555,8.175406e-01,-0.5626
248.1616,3.258856e-01,-0.4647,8.106954e-01,-0.5686
251.8786,3.236192e-01,-0.4743,8.038360e-01,-0.5745
255.6512,3.213221e-01,-0.4841,7.969640e-01,-0.5803
259.4803,3.189939e-01,-0.4943,7.900841e-01,-0.5862
263.3668,3.166341e-01,-0.5047,7.831925e-01,-0.5922
267.3115,3.142424e-01,-0.5154,7.762935e-01,-0.5980
271.3153,3.118184e-01,-0.5264,7.693889e-01,-0.6038
275.3791,3.093621e-01,-0.5377,7.624807e-01,-0.6095
279.5037,3.068732e-01,-0.5491,7.555708e-01,-0.6152
283.6901,3.043518e-01,-0.5609,7.486609e-01,-0.6206
287.9392,3.017980e-01,-0.5728,7.417570e-01,-0.6260
292.2519,2.992120e-01,-0.5850,7.348538e-01,-0.6316
296.6292,2.965939e-01,-0.5974,7.279563e-01,-0.6370
301.0721,2.939442e-01,-0.6100,7.210664e-01,-0.6423
305.5816,2.912632e-01,-0.6227,7.141859e-01,-0.6473
310.1586,2.885515e-01,-0.6357,7.073202e-01,-0.6525
314.8041,2.858096e-01,-0.6488,7.004642e-01,-0.6577
319.5192,2.830382e-01,-0.6621,6.936226e-01,-0.6627
